bank_name,demand_deposit_rate,reporting_date
ACCESS BANK,,2026-02-06
ALPHA MORGAN BANK,0.57,2026-02-06
CITI BANK,,2026-02-06
CORONATION MERCHANT BANK,1.55,2026-02-06
ECOBANK,,2026-02-06
FBN QUEST MERCHANT BANK,1.1,2026-02-06
FCMB,,2026-02-06
FIDELITY BANK,0.62,2026-02-06
FIRST BANK OF NIGERIA,0.5,2026-02-06
FSDH MERCHANT BANK,,2026-02-06
GLOBUS BANK LTD,0.5,2026-02-06
GREENWICH MERCHANT BANK,0.01,2026-02-06
GUARANTY TRUST BANK,14.0,2026-02-06
KEYSTONE BANK LTD,1.0,2026-02-06
NOVA BANK,0.29,2026-02-06
OPTIMUS BANK,,2026-02-06
PARALLEX BANK,7.33,2026-02-06
POLARIS BANK,,2026-02-06
PREMIUM TRUST BANK,,2026-02-06
PROVIDUS BANK,,2026-02-06
RAND MERCHANT BANK NIG. LTD,2.5,2026-02-06
SIGNATURE BANK,0.19,2026-02-06
STANBIC IBTC,,2026-02-06
STANDARD CHARTERED BANK,0.1,2026-02-06
STERLING BANK,,2026-02-06
SUNTRUST BANK,0.33,2026-02-06
TATUM BANK,,2026-02-06
UNITED BANK FOR AFRICA,,2026-02-06
UNION BANK,0.04,2026-02-06
UNITY BANK,2.5,2026-02-06
WEMA BANK,4.5,2026-02-06
ZENITH BANK,1.52,2026-02-06
